VariablesInteres,VariablesCondicionadas,VariablesMarginalizadas,TiempoEjecucion(us),EstadosEvaluados
2,0,18,76707.04,1048576
2,0,18,64314.67,1048576
2,0,18,57380.26,1048576
2,0,18,78077.90,1048576
2,0,18,58519.81,1048576
2,0,18,71477.77,1048576
2,0,18,73346.61,1048576
2,0,18,62600.24,1048576
2,0,18,52055.18,1048576
2,0,18,58588.29,1048576
2,0,18,70657.49,1048576
2,0,18,65607.24,1048576
2,0,18,75905.80,1048576
2,0,18,82825.02,1048576
2,0,18,73048.78,1048576
2,0,18,59478.64,1048576
2,0,18,53733.31,1048576
2,1,17,26048.96,1048576
2,1,17,39544.25,1048576
2,1,17,30682.71,1048576
2,1,17,28828.12,1048576
2,1,17,37738.74,1048576
2,1,17,27716.43,1048576
2,1,17,38151.90,1048576
2,1,17,31706.62,1048576
2,1,17,34473.90,1048576
2,1,17,37479.89,1048576
2,1,17,40625.89,1048576
2,1,17,39256.50,1048576
2,1,17,36202.47,1048576
2,1,17,43484.28,1048576
2,1,17,35137.17,1048576
2,1,17,32394.54,1048576
2,1,17,27827.94,1048576
2,1,17,35538.41,1048576
2,1,17,32788.05,1048576
2,1,17,44725.83,1048576
2,2,16,19643.05,1048576
2,2,16,16772.50,1048576
2,2,16,16217.00,1048576
2,2,16,17954.36,1048576
2,2,16,17972.61,1048576
2,2,16,19923.12,1048576
2,2,16,17512.08,1048576
2,2,16,18984.04,1048576
2,2,16,17046.41,1048576
2,2,16,17424.01,1048576
2,2,16,21855.75,1048576
2,2,16,22715.39,1048576
2,2,16,17607.39,1048576
2,2,16,19132.76,1048576
2,2,16,14389.18,1048576
2,2,16,19471.60,1048576
2,2,16,17545.63,1048576
2,2,16,15049.82,1048576
2,2,16,20055.44,1048576
2,2,16,17385.82,1048576
2,3,15,10205.64,1048576
2,3,15,8867.08,1048576
2,3,15,9707.64,1048576
2,3,15,10071.86,1048576
2,3,15,7808.23,1048576
2,3,15,11182.33,1048576
2,3,15,7606.92,1048576
2,3,15,7690.99,1048576
2,3,15,8309.76,1048576
2,3,15,12028.08,1048576
2,3,15,8070.98,1048576
2,3,15,9727.37,1048576
2,3,15,10739.35,1048576
2,3,15,9312.65,1048576
2,3,15,7244.26,1048576
2,3,15,11795.26,1048576
2,3,15,10246.01,1048576
2,3,15,9215.26,1048576
2,3,15,10494.52,1048576
2,3,15,7476.38,1048576
2,4,14,5909.43,1048576
2,4,14,5032.14,1048576
2,4,14,4052.14,1048576
2,4,14,4847.43,1048576
2,4,14,4363.47,1048576
2,4,14,4911.59,1048576
2,4,14,5019.75,1048576
2,4,14,5195.03,1048576
2,4,14,6100.70,1048576
2,4,14,4441.81,1048576
2,4,14,4896.66,1048576
2,4,14,4261.45,1048576
2,4,14,5065.84,1048576
2,4,14,5788.04,1048576
2,4,14,6141.94,1048576
2,4,14,5506.08,1048576
2,4,14,5962.11,1048576
2,4,14,5546.19,1048576
2,4,14,5556.86,1048576
2,4,14,4267.45,1048576
2,5,13,2779.80,1048576
2,5,13,2695.85,1048576
2,5,13,3286.23,1048576
2,5,13,3419.15,1048576
2,5,13,3191.45,1048576
2,5,13,3830.53,1048576
2,5,13,2584.48,1048576
2,5,13,2729.61,1048576
2,5,13,2813.04,1048576
2,5,13,3216.30,1048576
2,5,13,3140.98,1048576
2,5,13,3160.14,1048576
2,5,13,3350.60,1048576
2,5,13,2647.43,1048576
2,5,13,2549.43,1048576
2,5,13,2725.34,1048576
2,5,13,2779.95,1048576
2,5,13,3938.08,1048576
2,5,13,4019.09,1048576
2,5,13,3372.81,1048576
2,6,12,2115.12,1048576
2,6,12,2382.24,1048576
2,6,12,2157.18,1048576
2,6,12,1783.76,1048576
2,6,12,2651.29,1048576
2,6,12,2486.07,1048576
2,6,12,1943.06,1048576
2,6,12,2366.07,1048576
2,6,12,2327.21,1048576
2,6,12,2421.13,1048576
2,6,12,2613.17,1048576
2,6,12,1886.57,1048576
2,6,12,2231.75,1048576
2,6,12,2649.17,1048576
2,6,12,2602.92,1048576
2,6,12,2076.00,1048576
2,6,12,1768.76,1048576
2,6,12,2229.97,1048576
2,6,12,2039.99,1048576
2,6,12,2074.70,1048576
2,7,11,1477.02,1048576
2,7,11,1759.36,1048576
2,7,11,1443.46,1048576
2,7,11,1584.56,1048576
2,7,11,1762.53,1048576
2,7,11,1555.60,1048576
2,7,11,1439.55,1048576
2,7,11,1428.95,1048576
2,7,11,1487.18,1048576
2,7,11,1682.29,1048576
2,7,11,1606.61,1048576
2,7,11,1660.50,1048576
2,7,11,1446.90,1048576
2,7,11,1539.72,1048576
2,7,11,1558.91,1048576
2,7,11,1642.57,1048576
2,7,11,1456.22,1048576
2,7,11,1574.63,1048576
2,7,11,1760.94,1048576
2,7,11,1526.29,1048576
2,8,10,1347.45,1048576
2,8,10,1529.06,1048576
2,8,10,1507.04,1048576
2,8,10,1342.72,1048576
2,8,10,1214.19,1048576
2,8,10,1384.68,1048576
2,8,10,1304.81,1048576
2,8,10,1360.45,1048576
2,8,10,1363.30,1048576
2,8,10,1287.42,1048576
2,8,10,1392.28,1048576
2,8,10,1410.80,1048576
2,8,10,1339.38,1048576
2,8,10,1242.06,1048576
2,8,10,1373.66,1048576
2,8,10,1440.46,1048576
2,8,10,1368.14,1048576
2,8,10,1308.91,1048576
2,8,10,1244.19,1048576
2,8,10,1297.73,1048576
3,0,17,66476.84,1048576
3,0,17,55898.09,1048576
3,0,17,77225.74,1048576
3,0,17,64884.45,1048576
3,0,17,84798.54,1048576
3,0,17,58627.82,1048576
3,0,17,66296.67,1048576
3,0,17,78070.79,1048576
3,0,17,69862.79,1048576
3,0,17,61188.22,1048576
3,0,17,73282.61,1048576
3,0,17,89689.26,1048576
3,0,17,67891.84,1048576
3,0,17,63095.74,1048576
3,0,17,73082.49,1048576
3,0,17,72459.60,1048576
3,0,17,91901.24,1048576
3,0,17,63538.63,1048576
3,0,17,65414.46,1048576
3,0,17,68455.23,1048576
3,1,16,35041.34,1048576
3,1,16,32761.19,1048576
3,1,16,37844.52,1048576
3,1,16,41682.57,1048576
3,1,16,39336.01,1048576
3,1,16,34204.77,1048576
3,1,16,29510.17,1048576
3,1,16,34636.73,1048576
3,1,16,43311.01,1048576
3,1,16,32835.19,1048576
3,1,16,29068.07,1048576
3,1,16,45664.33,1048576
3,1,16,28777.56,1048576
